comments,date,translated_comments,cleaned_comments
Salamat sa video at sa pag Amin sana ay ipatuluy mo pa at ingat mo din poh.. at aminin mo pa kung Meron pag iBang natatagong secret ng Marcos ng kahit papaano maka bawi ka at mas makakaligtas kapa sa kasalanan mo,11/21/2025,"Thank you for the video and for the Amin, I hope you will continue and be careful too.. and admit if there is a hidden secret of Marcos that you can somehow get back and save yourself from your sin.",thank video amin hope continue careful admit hidden secret marcos somehow get back save sin
Isiwalat mo na Ang lahat idamay mo ba pero wag ka malinis kac makukulong kalokohan mo na sinabi mo na Wala Kang natatanggap sino ka si Duterte mahirap kuno walang lamasahe pero ayaw ipawave bank account,11/19/2025,"Reveal it. Do you sympathize with everything but don't come clean because you will be jailed for your nonsense that you said that you don't receive anything, who are you Duterte is said to be poor without lamasage but he doesn't want to wave a bank account",reveal sympathize everything dont come clean jailed nonsense said dont receive anything duterte said poor without lamasage doesnt want wave bank account
Rep. Zaldy Co parang awa niyo po umuwi na kayo para matapos nato filipino kapwa sa filipino na tayo mayaman na kayo wag na mag payaman pa lalo kaya umuwi kana ikanta mo na lahat..,11/19/2025,"Rep. Zaldy Co. It's a pity for you to go home so that we can finish being Filipinos, both of us Filipinos are already rich, don't get even richer so go home and sing everything..",rep zaldy co pity go home finish filipino u filipino already rich dont get even richer go home sing everything
Wala na kaming pake sa video nyong fake,11/19/2025,We have no use for your fake video,use fake video
Kinahahabagan ng panginoong diyos ang nag sasabi ng totoo.,11/19/2025,God has mercy on those who tell the truth.,god mercy tell truth
Daming galit na lock ang profile,11/19/2025,A lot of angry profile lock,lot angry profile lock
Yung bersamin at mina nag resign baka mag out of the country na din kasama si bonoan,11/19/2025,The Bersamin and Mina who resigned might be out of the country with Bonoan,bersamin mina resigned might country bonoan
Si antenna cler baka AI talaga un... kc parang edited ung mukha sa kapal ee hahahha tpos ung mga pinagsasasabi halatang AI,11/19/2025,The antenna cler might really be an AI... because the face seems to have been edited in the thickness hahah but then the things that are being said are obviously AI,antenna cler might really ai face seems edited thickness hahah thing said obviously ai
"God is good,Diyos na po mismo Ang gumalaw para maisiwalat nyo Ang kasamaan Ng administrasyon na to..",11/19/2025,"God is good, God himself moved to reveal the evil of this administration..",god good god moved reveal evil administration
Sir may dignidad ka pa kumpara kay bbm at kay lisa at sandro marcos,11/19/2025,"Sir, you still have dignity compared to bbm and lisa and sandro marcos",sir still dignity compared bbm lisa sandro marcos
Mas mabuti mag live po ulit para sa ka totohanan,11/19/2025,It's better to go live again for the truth,better go live truth
"dame salita.. asan na mga ebidensya, lalo mo pinapagulo ang mga loyalista at dds",11/21/2025,"dame words.. what evidences, you confuse the loyalists and dds even more",dame word evidence confuse loyalist dd even
wag mong basahin,11/19/2025,don't read it,dont read
"tayong mga Maka Duterte protect Zaldy co 💚💚 💚 hes saying the truth, wala siya ninakaw sa 100 billion pesos na insertions 💚💚💚👊👊👊",11/17/2025,"we Maka Duterte protect Zaldy co 💚💚 💚 hes telling the truth, he didn't steal anything from the 100 billion pesos insertions 💚💚💚👊👊👊",maka duterte protect zaldy co green_heart green_heart green_heart he telling truth didnt steal anything 100 billion peso insertion green_heart green_heart green_heart oncoming_fist oncoming_fist oncoming_fist
AI daw po video nyo Sabi ni Ante Claire ,11/17/2025,Ante Claire said that your video is AI,ante claire said video ai
"Salamat po sa pag butyag ng katotohanan, Pero dapat din po kung may atraso ka sana harapin mo rin.",11/17/2025,"Thank you for revealing the truth, but if you have arrears, you should also face it.",thank revealing truth arrears also face
Isiwalat Muna Ang lahat cong ,11/17/2025,Reveal everything first,reveal everything first
God is good All The Time. Kaya mo Yan zaldy co noon galit Ako Sayo ngayun Hindi na dahil tinama mo Ang pagkakamali mo tao lang Tayo nagkakamali god bless and your family... Ingat ka ngayun Kung saan ka man naroroon,11/17/2025,God is good all the time. You can do it zaldy co then I'm angry with you now It's not because you hit me Your mistakes are only human We make mistakes god bless and your family... Take care now Wherever you are,god good time zaldy co im angry hit mistake human make mistake god bless family take care wherever
"Sir kanta nyu na lahat ng alam nyu pati dun sa pagkidnapped Kay prrd
",11/17/2025,"Sir, your song is all you know about the kidnapping of Kay prrd",sir song know kidnapping kay prrd
"Medyo mahaba yung video pero honestly worth every minute kasi napakinggan ko talaga yung kabuuang paliwanag mo. Ang dami kasing nagbibigay ng opinion na hindi naman nakikita yung buong picture. Nakakagaan ng loob marinig na deretsong in-explain mo yung… See more
",11/19/2025,The video is a bit long but honestly worth every minute because I really listened to your entire explanation. There are so many who give opinions without seeing the whole picture. It's a relief to hear that you directly explained the... See more,video bit long honestly worth every minute really listened entire explanation many give opinion without seeing whole picture relief hear directly explained see
ISIWALAT mo ang katutuhanan dahil ang DIYOS ay nalulugod sa taong Taos pusong gusto magbago....kung totoo mga sinasabi mo nakatutok sau ang 31MILLION na tao ...gabayan ka nawa ng panginoon at lumakad ka sa Daan matuwid..tungo sa katutuhanan at hulihin… See more,11/17/2025,"REVEAL the truth because GOD is pleased with a person with a sincere heart who wants to change....if what you say is true, 31 MILLION people are focused on you...may the Lord guide you and walk on the right path..toward the truth and catch it... See more",reveal truth god pleased person sincere heart want changeif say true 31 million people focused youmay lord guide walk right pathtoward truth catch see
Ito na ito na.. ,11/17/2025,This is it..,
"Kung pwede mag zoom meeting kayo ni Sen. Marcoleta, Cong. Kiko Barzaga bukas November 18 at i connect sa tv screen sa Edsa at sa Quirino grandstand, para wala na silang masabi na AI itong video nyo Sir Zaldy. Maraming salamat po ",11/17/2025,"If you can have a zoom meeting with Sen. Marcoleta, Cong. Kiko Barzaga tomorrow November 18 and I will connect to the TV screen in Edsa and the Quirino grandstand, so that they can no longer say that this video of yours is AI Sir Zaldy. Thank you very much",zoom meeting sen marcoleta cong kiko barzaga tomorrow november 18 connect tv screen edsa quirino grandstand longer say video ai sir zaldy thank much
Please pakilabas na ng lahat! All evidence na ,11/17/2025,Please everyone get out! All the evidence,please everyone get evidence
Nxt video sir Rep. Zaldy Co ilabas nyo na po lahat,11/17/2025,"Nxt video sir Rep. Zaldy Co, take it all out",nxt video sir rep zaldy co take
Kung wala po napunta sa inyo sir.. Paano po niyo ngayon ipaliwanag sa amin lahat.. Ang lahat ng asset niyo sasakyan panghimpapawid na nagkakahalaga ng humigit kumulang na 4.7 billion pesos. Kasama na ang inyong private jet plane at mga helicopter.,11/17/2025,If nothing has gone to you sir.. How can you now explain everything to us.. All your assets are aircraft worth approximately 4.7 billion pesos. Your private jet plane and helicopters are included.,nothing gone sir explain everything u asset aircraft worth approximately 47 billion peso private jet plane helicopter included
Isiwalat mo na po lahat lahat!!!! Pakitodo na po!!!,11/17/2025,Reveal everything!!!! Please do it!!!,reveal everything please
"Sir napakarami nyong sasabihin ..
Sana yong buong katotohanan lamang..
Kasi madami sir na hindi naniniwala sa sinasabi mo na hindi ka nagkaroon ng bahagi sa bilyon bilyong piso na ninakaw sa kaban ng bayan.. malabo sir na hindi ka nagkaroon ?
Maaring totoo sir yang mga sinasabi mo..
Pero meron kang inilihim..
Para naman sir sakali nga mapatay ka nila eh maalalala ka sa nagawa mo na ikabubuti ng bansa...
Patunayan mo sir na hindi ka nga nagkaroon jan..
Isama mo na yong impeachment nyo kay vp Inday Sara Duterte ..
Isama nyo na yong wala sa Constitution na pagpapadala kay PRRD sa The Hague
Tutal nagtapat kalang din Kamo..
Magsabi ka sir ..
Walang dagdag .. walang bawas ...",11/17/2025,"Sir you have so much to say..
I hope it's the whole truth..
Because there are many people who do not believe what you say that you did not have a share in the billions of pesos that were stolen from the public treasury.. is it unclear, sir, that you did not?
What you say may be true sir..
But you have something to hide..
Sir, even if they kill you, you will be remembered for what you did for the betterment of the country...
Prove sir that you didn't have it..
Include your impeachment of vp Inday Sara Duterte..
Include what is not in the Constitution sending PRRD to The Hague
After all, you also confessed..
Tell me sir..
No addition .. no subtraction ...",sir much say hope whole truth many people believe say share billion peso stolen public treasury unclear sir say may true sir something hide sir even kill remembered betterment country prove sir didnt include impeachment vp inday sara duterte include constitution sending prrd hague also confessed tell sir addition subtraction
Nagnanakaw tapos paawa effect pano nmn yung mga taong naapektuhan ng baha hanggang ngaun..tama na ang drama kailangang may managot.. Dapat my death penalty na sa mga corrupt!,11/17/2025,"The people who were affected by the flood until now are stealing and then showing mercy, what is the effect? ​​The drama is right, someone needs to be held accountable. The corrupt should be given my death penalty!",people affected flood stealing showing mercy effect drama right someone need held accountable corrupt given death penalty
Salamat Dating Cong Zaldy Co ilabas nyo n lahat Ng nalalaman nyo para sa Bayan God bless,11/17/2025,"Thank you Former Cong Zaldy Co, bring out everything you know for the people, God bless",thank former cong zaldy co bring everything know people god bless
maganda siguro ito ipalabas sa Rally,11/17/2025,maybe it will be good to show it in the Rally,maybe good show rally
"AI video - Fake or not ?
AI maximum play 10 secs.
Why are AI video generators limited to a few seconds of video? : r/ArtificialInteligence
To generate 5-second videos, you train the model on a ton of 5-second clips. If you want a 10s clip, since the model is not trained on any ...
not edited.",11/17/2025,"AI video - Fake or not ?
AI maximum play 10 secs.
Why are AI video generators limited to a few seconds of video? : r/ArtificialInteligence
To generate 5-second videos, you train the model on a ton of 5-second clips. If you want a 10s clip, since the model is not trained on any ...
not edited.",ai video fake ai maximum play 10 sec ai video generator limited second video rartificialinteligence generate 5second video train model ton 5second clip want 10 clip since model trained edited
"sino kayang mambabatas ang pwedeng magpasa ng batas na bawal mag labas ng ebidensya na gumagamit ng script dapat lahat on the spot, 😂doon natin malalaman kung tunay,",11/17/2025,"who can be a legislator who can pass a law that prohibits the release of evidence that uses a script, everything must be on the spot, 😂that's when we'll know if it's real,",legislator pas law prohibits release evidence us script everything must spot face_with_tears_of_joy thats well know real
